CropType,Location,LandType,LandSize,Income,LoanName
Wheat,Bagalkot,Dryland,3.34,30366,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,3.59,58590,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,2.4,25475,Crop Loan
Wheat,Bagalkot,Dryland,3.53,27621,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,2.38,46520,Agricultural Term Loan
Wheat,Bagalkot,Dryland,3.25,29976,Crop Loan
Wheat,Bagalkot,Irrigated,4.41,25763,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,2.72,49727,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,3.18,52344,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,4.13,25274,Crop Loan
Wheat,Bagalkot,Dryland,3.49,25926,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,2.02,49423,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,2.18,57186,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,4.74,52423,Farm Mechanization Loan
Wheat,Bagalkot,Irrigated,2.29,25632,Crop Loan
Wheat,Bagalkot,Dryland,3.49,25926,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,2.72,48698,Farm Mechanization Loan
Wheat,Bagalkot,Irrigated,3.8,29223,Crop Loan
Wheat,Bagalkot,Dryland,4.78,32781,Crop Loan
Wheat,Bagalkot,Irrigated,2.61,33790,Crop Loan
Wheat,Bagalkot,Irrigated,3.9,29445,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,4.95,54708,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,4.54,26293,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,5.24,53598,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,2.38,46520,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,2.02,28434,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,5.56,48456,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,4.5,57589,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,2.18,45656,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,3.18,52344,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,5.07,58208,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,3.97,48505,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,5.35,59159,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,1.8,25243,PM Kisan Loan
Wheat,Bagalkot,Irrigated,3.52,25690,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,4.21,45510,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,3.03,26465,Crop Loan
Sugarcane,Bagalkot,Irrigated,5.02,50918,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,5.59,55859,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,2.86,50548,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,5.05,56154,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,4.87,51675,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,5.3,49367,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,4.67,55162,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,1.86,25293,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,3.36,49636,Agricultural Term Loan
Wheat,Bagalkot,Dryland,3.1,27240,Crop Loan
Wheat,Bagalkot,Dryland,2.42,30700,PM Kisan Loan
Wheat,Bagalkot,Irrigated,4.6,32079,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,5.77,47735,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,5.3,49367,Irrigation Loan
Wheat,Bagalkot,Irrigated,1.85,25425,Crop Loan
Wheat,Bagalkot,Irrigated,4.0,29640,PM Kisan Loan
