CropType,Location,LandType,LandSize,Income,LoanName
Groundnut,Bengaluru Rural,Black cotton soil land,2.39,32849,Organic Farming Loan
Sugarcane,Mysuru,Black cotton soil land,4.83,47483,Farm Mechanization Loan
Sugarcane,Belagavi,Black cotton soil land,3.56,45881,Agricultural Term Loan
Cotton,Haveri,Black cotton soil land,4.63,43297,Kisan Credit Card
Groundnut,Chikkaballapur,Black cotton soil land,3.01,28266,Organic Farming Loan
Sugarcane,Mysuru,Black cotton soil land,4.65,49115,Agricultural Term Loan
Cotton,Haveri,Black cotton soil land,3.68,31895,Pest Management Loan
Mango,Chikkaballapur,Black cotton soil land,3.95,43091,Horticulture Loan
Cotton,Gadag,Black cotton soil land,3.58,36695,Kisan Credit Card
Cotton,Dharwad,Black cotton soil land,2.9,32887,Crop Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.86,79315,Plantation Development Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.91,22536,Organic Farming Loan
Coffee,Kodagu,Black cotton soil land,1.7,68088,Plantation Development Loan
Cotton,Haveri,Black cotton soil land,4.63,39376,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,4.15,38742,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,3.76,33563,Pest Management Loan
Groundnut,Tumakuru,Black cotton soil land,3.73,21739,Crop Loan
Coffee,Hassan,Black cotton soil land,0.88,64965,Plantation Development Loan
Sugarcane,Mysuru,Black cotton soil land,3.1,47978,Irrigation Loan
Cotton,Haveri,Black cotton soil land,2.28,43764,Pest Management Loan
Sugarcane,Belagavi,Black cotton soil land,4.93,46715,Agricultural Term Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.63,34570,Crop Loan
Cotton,Ballari,Black cotton soil land,3.76,33563,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,2.4,33474,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,0.52,78684,NABARD Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.75,87356,Plantation Development Loan
Mango,Ramanagara,Black cotton soil land,2.21,52851,Horticulture Loan
Sugarcane,Belagavi,Black cotton soil land,2.24,58521,Agricultural Term Loan
Mango,Chikkaballapur,Black cotton soil land,2.13,41670,Horticulture Loan
Cotton,Haveri,Black cotton soil land,4.97,35993,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,4.63,41596,Pest Management Loan
Cotton,Gadag,Black cotton soil land,3.21,33331,Kisan Credit Card
Mango,Chikkaballapur,Black cotton soil land,1.85,42706,Horticulture Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.33,30031,Organic Farming Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.91,20693,Organic Farming Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.08,34140,Crop Loan
Sugarcane,Mysuru,Black cotton soil land,2.72,54044,Agricultural Term Loan
Sugarcane,Mandya,Black cotton soil land,4.38,46580,Agricultural Term Loan
Coffee,Hassan,Black cotton soil land,0.69,78012,Plantation Development Loan
Cotton,Haveri,Black cotton soil land,2.69,39654,Pest Management Loan
Coffee,Hassan,Black cotton soil land,1.61,73461,NABARD Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.83,61631,Horticulture Loan
Cotton,Gadag,Black cotton soil land,2.24,38070,Kisan Credit Card
Cotton,Dharwad,Black cotton soil land,4.53,35363,Kisan Credit Card
Sugarcane,Belagavi,Black cotton soil land,3.82,49471,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,3.33,50141,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,3.65,38789,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.24,82433,Horticulture Loan
Sugarcane,Bagalkot,Black cotton soil land,3.49,45458,Agricultural Term Loan
Groundnut,Chikkaballapur,Black cotton soil land,4.13,24482,Crop Loan
Cotton,Gadag,Black cotton soil land,4.38,36064,Kisan Credit Card
Sugarcane,Belagavi,Black cotton soil land,4.93,46715,Agricultural Term Loan
Sugarcane,Mysuru,Black cotton soil land,3.14,51428,Irrigation Loan
Cotton,Dharwad,Black cotton soil land,4.38,43654,Kisan Credit Card
Mango,Ramanagara,Black cotton soil land,2.75,36651,Horticulture Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.23,26517,Organic Farming Loan
Coffee,Hassan,Black cotton soil land,1.26,83402,NABARD Loan
Cotton,Dharwad,Black cotton soil land,3.71,44930,Kisan Credit Card
Sugarcane,Mandya,Black cotton soil land,4.31,54996,Farm Mechanization Loan
Cotton,Haveri,Black cotton soil land,3.88,44384,Kisan Credit Card
Sugarcane,Mysuru,Black cotton soil land,3.28,46065,Agricultural Term Loan
Sugarcane,Mysuru,Black cotton soil land,2.72,54044,Agricultural Term Loan
Sugarcane,Mandya,Black cotton soil land,2.77,57710,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,2.13,34770,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,0.95,66621,NABARD Loan
Sugarcane,Mandya,Black cotton soil land,5.82,49144,Irrigation Loan
Coffee,Kodagu,Black cotton soil land,1.08,83895,Plantation Development Loan
Cotton,Dharwad,Black cotton soil land,3.55,37021,Kisan Credit Card
Mango,Chikkaballapur,Black cotton soil land,1.92,51020,Organic Farming Loan
Cotton,Ballari,Black cotton soil land,3.46,33545,Crop Loan
Sugarcane,Mandya,Black cotton soil land,3.73,54657,Agricultural Term Loan
Mango,Ramanagara,Black cotton soil land,3.48,50073,Horticulture Loan
Cotton,Dharwad,Black cotton soil land,3.49,33025,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.77,33216,Kisan Credit Card
Mango,Chikkaballapur,Black cotton soil land,2.17,44913,Horticulture Loan
Sugarcane,Mysuru,Black cotton soil land,2.68,45626,Farm Mechanization Loan
Mango,Chikkaballapur,Black cotton soil land,2.7,44083,Organic Farming Loan
Cotton,Ballari,Black cotton soil land,3.76,33563,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,0.87,76395,NABARD Loan
Cotton,Dharwad,Black cotton soil land,4.54,40175,Pest Management Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.92,31920,Organic Farming Loan
Mango,Ramanagara,Black cotton soil land,3.0,54343,Horticulture Loan
Coffee,Hassan,Black cotton soil land,1.59,63700,NABARD Loan
Cotton,Haveri,Black cotton soil land,3.68,31895,Pest Management Loan
Cotton,Gadag,Black cotton soil land,3.76,33306,Pest Management Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.07,22785,Crop Loan
Cotton,Haveri,Black cotton soil land,4.95,31247,Pest Management Loan
Cotton,Haveri,Black cotton soil land,4.39,43405,Pest Management Loan
Mango,Chikkaballapur,Black cotton soil land,1.16,57520,Horticulture Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.53,65525,Plantation Development Loan
Sugarcane,Mysuru,Black cotton soil land,2.76,46328,Agricultural Term Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.31,27520,Crop Loan
Groundnut,Tumakuru,Black cotton soil land,4.67,22600,Crop Loan
Mango,Ramanagara,Black cotton soil land,3.21,55270,Horticulture Loan
Cotton,Ballari,Black cotton soil land,4.26,34626,Kisan Credit Card
Cotton,Haveri,Black cotton soil land,2.08,35061,Pest Management Loan
