CropType,LoanName,Location,LandType,LandSize,Income
Cotton,Crop Loan,Gadag,Black cotton soil land,2.65,42072
Banana,Irrigation Loan,Hassan,Wetland,2.7,41546
Maize,Farm Mechanization Loan,Gadag,Dryland,3.28,22227
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.23,81997
Wheat,PM Kisan Loan,Kalaburagi,Irrigated,2.87,31969
Pulses,Organic Farming Loan,Bidar,Dryland,2.98,22421
Wheat,Crop Loan,Vijayapura,Irrigated,2.6,33510
Rice,Crop Loan,Mysuru,Wetland,3.0,30814
Mango,Horticulture Loan,Kolar,Black cotton soil land,3.87,56681
Sugarcane,Agricultural Term Loan,Belagavi,Black cotton soil land,2.88,50610
Coconut,Plantation Loan,Tumakuru,Coastal loamy,1.58,58766
Rice,Crop Loan,Mysuru,Irrigated,1.27,30717
Coffee,NABARD Loan,Kodagu,Wetland,0.69,83602
Maize,Farm Mechanization Loan,Gadag,Dryland,4.84,23107
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.22,56661
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,2.23,83358
Pulses,NABARD Loan,Gadag,Dryland,3.62,23009
Pulses,NABARD Loan,Bidar,Dryland,1.29,20617
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,1.18,72696
Rice,Crop Loan,Mandya,Wetland,2.88,30878
Mango,Horticulture Loan,Kolar,Dryland,1.07,39498
Pulses,PM Kisan Loan,Raichur,Dryland,1.48,20818
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,1.36,63705
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.42,85009
Millets,Soil Health Card Loan,Ballari,Rainfed,2.6,17179
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,4.48,32424
Groundnut,Organic Farming Loan,Bengaluru Rural,Dryland,2.97,22758
Coffee,Horticulture Loan,Chikkamagaluru,Black cotton soil land,0.96,83904
Cotton,Kisan Credit Card,Haveri,Dryland,4.13,35905
